"","t","POL","IMP","n","damn","gnipc","gni","income"
"147",3,"bau","burkesr","tun",0.00175939183495641,3628.22753290071,0.000465167530196084,"low-middle"
"148",3,"bau","burkesr","tur",0.000671877930711034,9833.82149619493,0.00898305790436753,"middle"
"149",3,"bau","burkesr","tza",0.0032129340199507,1101.91180139938,0.000727906460837805,"low-middle"
"150",3,"bau","burkesr","uga",0.00265322013864607,838.013883127216,0.000424183441669911,"low"
"151",3,"bau","burkesr","ukr",-0.00573886112154752,3894.93356637465,0.00183308824311093,"low-middle"
"152",3,"bau","burkesr","ury",0.000663584296716677,15796.5820258511,0.000591356677962571,"high"
"153",3,"bau","burkesr","usa",-0.00450104149859013,70428.3006835091,0.251079313114823,"high"
"154",3,"bau","burkesr","uzb",0.00148118560897369,1964.30436853402,0.000736693312186285,"low-middle"
"155",3,"bau","burkesr","vct",3.09973256434934e-05,8096.74746374239,9.67719368627718e-06,"middle"
"156",3,"bau","burkesr","ven",0.0153795254780587,NA,NA,"low-middle"
"157",3,"bau","burkesr","vnm",0.0318155280561089,3558.60331684075,0.0037524753178507,"low-middle"
"158",3,"bau","burkesr","yem",0.00313747487629656,650.874643175514,0.00021317120159362,"low"
"159",3,"bau","burkesr","zaf",0.00815339979020442,6443.16776835532,0.00415546104595652,"middle"
"160",3,"bau","burkesr","zmb",0.00126585488078561,1038.19902264017,0.000210999527609679,"low"
"161",3,"bau","coacch","afg",0.00038467437179325,485.052169550712,0.000207549931158937,"low"
"162",3,"bau","coacch","ago",0.00145565381057513,1771.00873103867,0.000645528518883321,"low-middle"
"163",3,"bau","coacch","alb",5.42444408563344e-05,6113.24042766111,0.000184628975694956,"middle"
"164",3,"bau","coacch","are",0.00136829240074511,39013.5131624554,0.00418689704335332,"high"
"165",3,"bau","coacch","arg",0.00226372900112735,10051.6825445888,0.00494597402697232,"middle"
"166",3,"bau","coacch","arm",7.57377905132605e-05,4561.09251160587,0.000145417328370039,"middle"
"167",3,"bau","coacch","aus",0.00304498001367846,56764.1945823702,0.0156940533280556,"high"
"168",3,"bau","coacch","aut",0.000604142029126268,52205.9802920085,0.00502241416939877,"high"
"169",3,"bau","coacch","aze",0.000249525787205633,4879.53085558876,0.000531745532538091,"middle"
"170",3,"bau","coacch","bel",0.000730931162200574,50506.7062978127,0.00628662805592889,"high"
"171",3,"bau","coacch","ben",0.000345789592500801,1374.59879265667,0.00018384250418875,"low-middle"
"172",3,"bau","coacch","bfa",0.000366395993676931,855.617633311754,0.000197571454438424,"low"
"173",3,"bau","coacch","bgd",0.00771225089402368,2618.89120443265,0.00467825063666233,"low-middle"
"174",3,"bau","coacch","bgr",0.000217445721222107,10717.2966007569,0.00079422566721942,"middle"
"175",3,"bau","coacch","bhr",0.000148216080429551,19395.0922806763,0.000364226231470258,"high"
"176",3,"bau","coacch","bhs",3.07833600201125e-05,27221.7707163615,0.000116058631126526,"high"
"177",3,"bau","coacch","bih",6.50425485215557e-05,6766.08211200833,0.00023718110028152,"middle"
"178",3,"bau","coacch","blr",0.000313691851971648,6954.31370117315,0.000697718772920424,"middle"
"179",3,"bau","coacch","blz",8.31077207655382e-06,4291.27654681484,1.86644425349776e-05,"middle"
"180",3,"bau","coacch","bol",0.000242508237356626,3361.35534865027,0.000427239695481948,"low-middle"
"181",3,"bau","coacch","bra",0.00726616586457391,7715.47745829116,0.0177348664947644,"middle"
"182",3,"bau","coacch","brb",9.87428987421804e-06,16717.4998344414,5.1663987209236e-05,"high"
"183",3,"bau","coacch","btn",5.97446593857034e-05,2811.26182942876,2.35507569687248e-05,"low-middle"
"184",3,"bau","coacch","bwa",0.000279067427516592,6939.37777171714,0.000178688540183077,"middle"
"185",3,"bau","coacch","caf",3.54352727851751e-05,530.940418142377,2.80591426704193e-05,"low"
"186",3,"bau","coacch","can",0.00346560118389508,48313.7919313986,0.0198482867796079,"high"
"187",3,"bau","coacch","che",0.000752372006209511,90357.4192228647,0.00844178029579419,"high"
"188",3,"bau","coacch","chl",0.00113243576684225,14996.8655361432,0.00309489495553562,"high"
"189",3,"bau","coacch","chn",0.058974172147612,11887.3654259035,0.180341499829811,"middle"
"190",3,"bau","coacch","civ",0.00116570145079188,2452.67005993859,0.000712737015558115,"low-middle"
"191",3,"bau","coacch","cmr",0.000769947807117874,1592.15331579679,0.000465592156912744,"low-middle"
"192",3,"bau","coacch","cod",0.00083372327812891,576.693381694987,0.000572239867573143,"low"
"193",3,"bau","coacch","cog",0.000134032317499017,1627.25447626747,9.88798077302766e-05,"low-middle"
"194",3,"bau","coacch","col",0.0018278865688901,6158.716943027,0.00339143099521519,"middle"
"195",3,"bau","coacch","com",1.79691216434666e-05,1458.68003056896,1.39206853320715e-05,"low-middle"
"196",3,"bau","coacch","cpv",2.83420124229443e-05,3334.7183600396,2.01272119598671e-05,"low-middle"
"197",3,"bau","coacch","cri",0.000262819287706762,12308.0388760835,0.000679417314759478,"middle"
"198",3,"bau","coacch","cyp",4.6804702914502e-05,20824.0091460651,0.000271903879787936,"high"
"199",3,"bau","coacch","cze",0.000563962943923875,24069.6280240239,0.00276730900018059,"high"
"200",3,"bau","coacch","deu",0.00544543428338176,51039.2868275137,0.045574645271186,"high"
"201",3,"bau","coacch","dji",4.28183042125979e-05,3304.63417351289,3.55746914945893e-05,"low-middle"
"202",3,"bau","coacch","dnk",0.000422443582943261,68106.6246138127,0.00428459165117894,"high"
"203",3,"bau","coacch","dom",0.000546093590298485,8216.907754601,0.000966795150730665,"middle"
"204",3,"bau","coacch","dza",0.000969519258026374,3656.03595143635,0.00175215223594234,"low-middle"
"205",3,"bau","coacch","ecu",0.000451705823536095,5929.50544812934,0.00113934807017049,"middle"
"206",3,"bau","coacch","egy",0.00294370539574356,3508.59133415941,0.00392923670706336,"low-middle"
"207",3,"bau","coacch","esp",0.00226712811881505,29740.1676944978,0.0151186903171791,"high"
"208",3,"bau","coacch","est",6.69277076565843e-05,25973.8336107426,0.00037085888180471,"high"
"209",3,"bau","coacch","eth",0.00192863901270372,963.66693488497,0.00122016295430512,"low"
"210",3,"bau","coacch","fin",0.000330236866809785,53661.749656761,0.00319427410998039,"high"
"211",3,"bau","coacch","fra",0.00376461765290693,43881.1519838273,0.0318157540374323,"high"
"212",3,"bau","coacch","gab",0.000239271325410951,7100.50597384788,0.000173806369991651,"middle"
"213",3,"bau","coacch","gbr",0.00378844640764517,45380.8068462387,0.0328188493864666,"high"
"214",3,"bau","coacch","geo",0.000113964023367859,4737.94319723654,0.000188740746867513,"middle"
"215",3,"bau","coacch","gha",0.00134446229691534,2360.71670984796,0.000804651316377741,"low-middle"
"216",3,"bau","coacch","gmb",4.27383544238856e-05,797.506421616929,2.13041213385099e-05,"low"
"217",3,"bau","coacch","gnb",2.84412927943734e-05,781.091856425629,1.69101481385471e-05,"low"
"218",3,"bau","coacch","gnq",0.000130458974829811,5805.96029649728,9.04219919757813e-05,"middle"
"219",3,"bau","coacch","grc",0.000396700258807384,20138.9465087884,0.00230698446837299,"high"
"220",3,"bau","coacch","gtm",0.000373605020276843,4942.06695173159,0.000908273914546487,"middle"
"221",3,"bau","coacch","guy",8.13275016345298e-05,9375.84512046224,7.9594488692593e-05,"middle"
"222",3,"bau","coacch","hkg",0.00095454237969211,54450.6908815597,0.00433578668883158,"high"
"223",3,"bau","coacch","hnd",0.000142179206441664,2538.23218159279,0.000274361528946312,"low-middle"
"224",3,"bau","coacch","hrv",0.000164220669204636,17152.3332710771,0.000718358270525113,"high"
"225",3,"bau","coacch","hti",7.42644868672307e-05,1422.7980575579,0.000176391259024995,"low-middle"
"226",3,"bau","coacch","hun",0.000434964638031981,17738.7557277276,0.00185012869457133,"high"
"227",3,"bau","coacch","idn",0.0196374143446029,4136.17826426507,0.0122784033612866,"low-middle"
"228",3,"bau","coacch","ind",0.076589651551414,2172.73938714261,0.0325200281909066,"low-middle"
"229",3,"bau","coacch","irl",0.000660773572612592,74516.735649726,0.00402470090080747,"high"
"230",3,"bau","coacch","irn",0.00268980343563581,3326.66784204215,0.00303836496922698,"low-middle"
"231",3,"bau","coacch","irq",0.000912589040723535,5035.17350968926,0.00222719679508963,"middle"
"232",3,"bau","coacch","isl",2.52514761915847e-05,64407.8379872499,0.000257567213365835,"high"
"233",3,"bau","coacch","isr",0.000851325013879008,49564.6894480019,0.00498538208803842,"high"
"234",3,"bau","coacch","ita",0.00301647008264067,35714.1140786888,0.0226591571527361,"high"
"235",3,"bau","coacch","jam",6.35210633922263e-05,4802.36365700117,0.000153384717567616,"middle"
"236",3,"bau","coacch","jor",0.000221233709730624,4482.82355833204,0.000494476190121477,"middle"
"237",3,"bau","coacch","jpn",0.00984443772107375,42623.4785044404,0.0575420355325324,"high"
"238",3,"bau","coacch","kaz",0.000945714803749229,8723.64827243134,0.00178063747095661,"middle"
"239",3,"bau","coacch","ken",0.00194366544411931,2007.81081358812,0.00118587036869553,"low-middle"
"240",3,"bau","coacch","kgz",6.14695986516291e-05,1176.07013646883,8.45661502133334e-05,"low-middle"
"241",3,"bau","coacch","khm",0.000448973049699731,1548.45964667169,0.00028186631556528,"low-middle"
"242",3,"bau","coacch","kor",0.00461482264145582,34976.2136165357,0.0194403821493365,"high"
"243",3,"bau","coacch","kwt",0.000398209730701593,35179.313241748,0.00163566647025319,"high"
"244",3,"bau","coacch","lbn",0.000126116442804038,3451.40746257141,0.000250954559360369,"low-middle"
"245",3,"bau","coacch","lca",6.4796113169449e-06,9675.72141326874,1.91651084850728e-05,"middle"
"246",3,"bau","coacch","lka",0.00194660976526969,3817.05941422563,0.000908416326577666,"low-middle"
"247",3,"bau","coacch","lso",3.4351571541151e-05,1270.43793998584,2.94634927498609e-05,"low-middle"
"248",3,"bau","coacch","ltu",0.000136058794855345,21609.9766168791,0.000648859456866045,"high"
"249",3,"bau","coacch","lux",9.16948250496936e-05,80012.9849191866,0.00054925441640233,"high"
"250",3,"bau","coacch","lva",7.73452688318388e-05,19373.5123418933,0.000391886858676019,"high"
"251",3,"bau","coacch","mar",0.000663769379962398,3406.66316370103,0.00136654468002533,"low-middle"
"252",3,"bau","coacch","mda",8.47405376728215e-05,5458.43785388092,0.000150913961297953,"middle"
"253",3,"bau","coacch","mdg",0.00032084075420912,499.144633218821,0.000152414812936251,"low"
"254",3,"bau","coacch","mdv",7.31505651322094e-05,8400.52594860871,4.90531112739263e-05,"middle"
"255",3,"bau","coacch","mex",0.00573409159853057,9377.17513018763,0.0131206441502129,"middle"
"256",3,"bau","coacch","mkd",4.46165634426134e-05,6133.70652180954,0.000136058930037909,"middle"
"257",3,"bau","coacch","mli",0.000355786819366963,874.413590429994,0.000195887545425333,"low"
"258",3,"bau","coacch","mlt",3.12332208519833e-05,30559.8585632601,0.000169666648039122,"high"
"259",3,"bau","coacch","mmr",0.00114099029966895,1144.49869156087,0.000673764573955732,"low-middle"
"260",3,"bau","coacch","mne",1.67662056906126e-05,9303.96114665184,6.19791188194323e-05,"middle"
"261",3,"bau","coacch","mng",8.07608836557044e-05,3763.52120649299,0.000134589011925172,"low-middle"
"262",3,"bau","coacch","moz",0.000312532544827655,479.968858600366,0.000165819222030923,"low"
"263",3,"bau","coacch","mrt",0.000194711204322675,1727.09646415349,8.85859057704345e-05,"low-middle"
"264",3,"bau","coacch","mus",0.000197825242337167,10856.2110109714,0.000147637682199848,"middle"
"265",3,"bau","coacch","mys",0.00529366520446567,10933.7560884684,0.00384939582259139,"middle"
"266",3,"bau","coacch","nam",0.000148080521335496,4550.43083572099,0.000126465290615776,"middle"
"267",3,"bau","coacch","ner",0.00026733764243573,588.838311271133,0.000158952440306369,"low"
"268",3,"bau","coacch","nga",0.00726011682244379,2100.46767782282,0.00476965631887085,"low-middle"
"269",3,"bau","coacch","nic",9.38016254420257e-05,2006.13160364811,0.000144428551771376,"low-middle"
"270",3,"bau","coacch","nld",0.00122961795999081,56365.3014429068,0.0106155561809254,"high"
"271",3,"bau","coacch","nor",0.000448480338185997,84088.8451464044,0.00488500961263486,"high"
