"","t","POL","IMP","n","resp","income","comp","compc","compr","share","sharepop","yp"
"1181",3,"bau","kalkuhl","ita","share50","high",0.167348164164477,2.86800624103646,5.97231464578588e-05,0.0142335341175891,0.0071618994314667,48021.6869193279
"1182",3,"bau","kalkuhl","ita","share90","high",0.409779836433135,7.0227906843725,0.000146242065510322,0.013647593209265,0.0071618994314667,48021.6869193279
"1183",3,"bau","kalkuhl","jam","share15","middle",0.0467926447723724,16.5931364441037,0.00150204620838297,0.000182274563575386,0.000346127787433352,11047.0212910208
"1184",3,"bau","kalkuhl","jam","share50","middle",0.0187369863226612,6.6443213910146,0.000601458186417657,0.000250083187101433,0.000346127787433352,11047.0212910208
"1185",3,"bau","kalkuhl","jam","share90","middle",0.00717525224469659,2.54441568960872,0.00023032595145597,0.000278027114163642,0.000346127787433352,11047.0212910208
"1186",3,"bau","kalkuhl","jor","share15","middle",0.180811754817304,15.8052233231909,0.00147371752626697,0.000724250905719954,0.001404149605758,10724.7305141485
"1187",3,"bau","kalkuhl","jor","share50","middle",0.288254948568005,25.1971108888117,0.00234944000276469,0.000464567994034363,0.001404149605758,10724.7305141485
"1188",3,"bau","kalkuhl","jor","share90","middle",0.188326424670211,16.4621000585849,0.00153496631331364,0.000706088458387209,0.001404149605758,10724.7305141485
"1189",3,"bau","kalkuhl","jpn","share15","high",-2.61636878969276,-21.2955297875042,-0.000457211942652541,0.0314602427550269,0.01507987941988,46576.9324920888
"1190",3,"bau","kalkuhl","jpn","share50","high",-5.46608375140017,-44.4903447126825,-0.000955201262346747,0.0383478105282562,0.01507987941988,46576.9324920888
"1191",3,"bau","kalkuhl","jpn","share90","high",-6.31957992100083,-51.4372450024486,-0.00110435020621389,0.0404106528796169,0.01507987941988,46576.9324920888
"1192",3,"bau","kalkuhl","kaz","share15","middle",-2.72854995665837,-137.181998826464,-0.00443919199102001,0.00836405245450865,0.00244130556455651,30902.4703378381
"1193",3,"bau","kalkuhl","kaz","share50","middle",-3.11303231799748,-156.51243428846,-0.00506472241789748,0.00929332024336418,0.00244130556455651,30902.4703378381
"1194",3,"bau","kalkuhl","kaz","share90","middle",-2.40606513479103,-120.968583951284,-0.00391452795290496,0.00758462851341445,0.00244130556455651,30902.4703378381
"1195",3,"bau","kalkuhl","ken","share15","low-middle",1.02726525247127,17.9215850047326,0.0031272450099594,0.000565048770932431,0.00703547687080842,5730.79018358248
"1196",3,"bau","kalkuhl","ken","share50","low-middle",1.12304073198743,19.5924761337654,0.00341880883894401,0.000333565933159132,0.00703547687080842,5730.79018358248
"1197",3,"bau","kalkuhl","ken","share90","low-middle",1.07927248637807,18.8288989249489,0.00328556766550095,0.000439350814103578,0.00703547687080842,5730.79018358248
"1198",3,"bau","kalkuhl","kgz","share15","low-middle",-0.102192334232987,-14.3528559315993,-0.00255793878890802,0.00028264319302949,0.000873911293094137,5611.10218658772
"1199",3,"bau","kalkuhl","kgz","share50","low-middle",-0.18551349473339,-26.0552661142401,-0.00464352015839604,0.000484024786487806,0.000873911293094137,5611.10218658772
